,Unnamed: 0,Unnamed: 0.1,RegionName,State,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate,inventory_price_increased,inventory_price_decreased,median_days_on_market,Population,Area,GDP,GDP_pp,Population_Density,Violent_Crimes,Violent_Crimes_pp,Property_Crime,Property_Crimes_pp,Revenue_pp,Expenditures_pp,Hospital,Hospital_pp,School,School_pp,Public_School,Public_School_pp,Private_School,Private_School_pp,latitude,longitude,x_dist,y_dist
42,42,43,Calaveras County,CA,2020-02,332986,501,4.1,0.0,0.0,0.0,0.0,0,0.0,12,116,82,46221,"1,020","1,292,735",27.96856407,44,113,2.5,989,22.0,33400,33016,1,2.16e-05,26,0.000562515,22,0.000475974,4,8.65e-05,38.1960477,-120.6805037,3067.4549149197924,608.0369805698822
43,43,44,Siskiyou County,CA,2020-02,217964,209,8.4,0.0,0.0,0.0,0.0,0,0.0,0,24,122,44118,"6,287","1,546,848",35.06160751,7.1,137,3.1,724,16.4,37841,37241,2,4.53e-05,57,0.00129199,50,0.001133324,7,0.000158665,41.7743261,-122.5770126,3242.904787300617,1005.3490263926586
44,44,45,Amador County,CA,2020-02,325944,238,4.4,0.0,0.0,0.0,0.0,0,0.0,4,56,105,41259,606,"1,570,431",38.06274995,62.5,81,2.2,629,16.9,30909,30810,1,2.42e-05,19,0.000460506,16,0.000387794,3,7.27e-05,38.3488921,-120.7740931,3076.1194295158457,625.0029594891616
45,45,46,Lassen County,CA,2020-02,175294,140,5.9,0.0,0.0,0.0,0.0,0,0.0,0,20,140,33159,"4,558","1,071,059",32.30070267,7.3,140,4.2,521,15.6,32798,31720,1,3.02e-05,31,0.000934889,29,0.000874574,2,6.03e-05,40.5394389,-120.7120023,3070.3711302375955,868.2062232216956
46,46,47,Del Norte County,CA,2020-02,273317,105,6.2,0.0,0.0,0.0,0.0,0,0.0,0,20,129,28100,"1,008","688,089",24.48715302,27.9,165,5.9,649,23.1,40143,39264,1,3.56e-05,18,0.000640569,16,0.000569395,2,7.12e-05,41.7076287,-123.9659708,3371.2214777270856,997.9410624597137
47,47,48,Glenn County,CA,2020-02,254797,63,7.1,0.0,0.0,0.0,0.0,0,0.0,0,24,132,28805,"1,315","982,720",34.11629925,21.3,125,4.5,527,18.8,43299,43366,1,3.47e-05,35,0.001215067,32,0.001110918,3,0.000104149,39.6437813,-122.4467238,3230.8603617743934,768.7556297833373
48,48,49,Colusa County,CA,2020-02,254380,65,20.2,0.0,0.0,0.0,0.0,0,0.0,0,20,87,21917,"1,151","1,199,687",54.73773783,18.6,40,1.9,350,16.3,42181,40480,1,4.56e-05,24,0.00109504,20,0.000912534,4,0.000182507,39.1040645,-122.2653887,3214.094795551754,708.8348522819572
49,49,50,Plumas County,CA,2020-02,278920,251,10.8,0.0,0.0,0.0,0.0,0,0.0,0,20,191,19915,"2,554","1,006,000",50.51468742,7.6,91,4.7,312,16.2,49764,48982,3,0.00015064,19,0.000954055,16,0.000803415,3,0.00015064,39.99268319999999,-120.8039474,3078.8832068436723,807.4946062610758
50,50,51,Inyo County,CA,2020-02,369630,65,3.9,0.0,0.0,0.0,0.0,0,0.0,0,8,105,18970,"10,192","1,224,445",64.54638904,1.8,106,5.7,303,16.4,64893,62300,2,0.00010543,29,0.00152873,28,0.001476015,1,5.27e-05,36.3091865,-117.5495846,2777.2347705430557,398.628576177204
51,51,52,Mariposa County,CA,2020-02,302005,113,5.9,0.0,0.0,0.0,0.0,0,0.0,0,12,106,17147,"1,451","664,863",38.77430454,12.4,71,4.0,276,15.4,58085,57969,1,5.83e-05,17,0.000991427,16,0.000933108,1,5.83e-05,37.4893626,-119.9679294,3001.463685972131,529.5995237959149
52,52,53,Mono County,CA,2020-02,474600,154,3.7,1.0,0.0,7.162810686913545e-05,0.0,0,0.0,0,28,99,13247,"3,044","1,027,563",77.56948743,4.7,36,2.5,184,13.0,67323,67973,1,7.55e-05,0,0.0,0,0.0,0,0.0,37.9218608,-118.9528645,2907.39605347475,577.6028946195834
53,53,54,Trinity County,CA,2020-02,282120,169,7.2,0.0,0.0,0.0,0.0,0,0.0,0,16,141,16060,"3,179","371,527",23.13368618,4.3,34,2.5,174,12.9,64746,64241,1,6.23e-05,25,0.001556663,24,0.001494396,1,6.23e-05,40.6329485,-123.0622553,3287.7507874765697,878.590082609882
54,54,55,Modoc County,CA,2020-02,135915,75,9.6,0.0,0.0,0.0,0.0,0,0.0,0,4,182,8661,"3,944","357,793",41.31081861,2.4,49,5.2,166,17.8,64291,62953,2,0.00023092,17,0.001962822,15,0.001731902,2,0.00023092,41.4565165,-120.629366,3062.72030914532,970.0512419048911
55,55,56,Sierra County,CA,2020-02,249078,30,6.9,0.0,0.0,0.0,0.0,0,0.0,0,4,215,3283,953,"82,019",24.98294243,3.2,11,3.6,29,9.6,104352,100503,1,0.000304599,0,0.0,0,0.0,0,0.0,39.5532845,-120.2512728,3027.708435296758,758.7080481082694
56,56,57,Alpine County,CA,2020-02,420877,60,5.1,0.0,0.0,0.0,0.0,0,0.0,0,8,232,1235,739,"99,643",80.68259109,1.6,4,3.3,24,20.0,252437,247344,0,0.0,0,0.0,0,0.0,0,0.0,38.5940736,-119.8815203,2993.458870549918,652.2194342661168
57,57,58,Los Angeles County,CA,2020-03,659734,8838,6.7,6918.0,98.0,0.0006744295937132,9.553931798770407e-06,0,0.0,364,1732,38,9829544,"4,060","662,418,536",67.39056624,"2,457.90","42,725",4.3,"217,493",21.8,33864,33230,131,1.33e-05,3232,0.000328805,2283,0.000232259,949,9.65e-05,34.0522265,-118.2436596,2841.630363614631,148.23254839934924
58,58,59,San Diego County,CA,2020-03,617153,4291,3.8,1565.0,16.0,0.0004643340974324,4.747185660650992e-06,0,0.0,272,1072,34,3286069,"4,204","203,932,550",62.05972851,756.7,"10,585",3.3,"59,050",18.6,22016,21083,37,1.13e-05,1058,0.000321965,789,0.000240105,269,8.19e-05,32.7157305,-117.1610966,2741.1773351781135,0.0
59,59,60,Orange County,CA,2020-03,763185,4126,3.3,1288.0,12.0,0.0003989445315328,3.7168745173870734e-06,0,0.0,172,1112,37,3167809,948,"220,075,102",69.4723394,"3,903.60","6,257",2.0,"54,754",17.7,20776,20309,41,1.29e-05,959,0.000302733,642,0.000202664,317,0.000100069,33.7174708,-117.8311428,2803.3613340096917,111.10134270368917
60,60,61,Riverside County,CA,2020-03,403051,6312,4.7,1267.0,19.0,0.0005133409909061,7.698089050683812e-06,0,0.0,228,1740,49,2458395,"7,208","75,327,830",30.64106053,314.6,"6,260",2.8,"61,434",27.1,27929,28072,24,9.76e-06,697,0.000283518,538,0.000218842,159,6.47e-05,33.9532966,-117.3961192,2762.992090010958,137.25900290052763
61,61,62,San Bernardino County,CA,2020-03,365886,5039,4.4,723.0,9.0,0.0003260578389626,4.05881127339341e-06,0,0.0,208,1128,49,2194710,"20,062","78,146,465",35.60673848,103.6,"8,281",4.0,"54,778",26.4,29477,27905,32,1.46e-05,740,0.000337174,587,0.000267461,153,6.97e-05,34.9592083,-116.419389,2672.3088151510783,248.84545588943442
62,62,63,Santa Clara County,CA,2020-03,1282227,1044,3.0,1347.0,35.0,0.00068459558291,1.7788303936043427e-05,0,0.0,44,152,22,1885508,"1,291","282,946,368",150.0637324,"1,427.30","4,676",2.5,"43,084",23.4,39774,38937,17,9.02e-06,631,0.000334658,426,0.000225934,205,0.000108724,37.3336581,-121.8907041,3179.4447585627577,512.3186021105837
63,63,64,Alameda County,CA,2020-03,913653,1176,3.5,695.0,11.0,0.0004122461423844,6.52475908809967e-06,0,0.0,56,208,29,1648556,738,119117078,72.25540291,2109.8,10356,6.6,57620,37.0,27341,26306,27,1.64e-05,562,0.000340904,401,0.000243243,161,9.77e-05,37.6016892,-121.7195459,3163.612809522244,542.066416629334
64,64,65,Sacramento County,CA,2020-03,399927,1468,4.3,591.0,10.0,0.0003769192748608,6.377652704921953e-06,0,0.0,112,448,22,1588921,966,"77,961,074",49.06541861,"1,503.00","7,452",5.1,"40,246",27.8,33750,33214,19,1.2e-05,511,0.000321602,398,0.000250484,113,7.11e-05,38.47467,-121.3541631,3129.807814234712,638.9648451122517
65,65,66,Contra Costa County,CA,2020-03,699059,1331,3.6,470.0,3.0,0.0004051378373742,2.585986196005686e-06,0,0.0,60,236,29,1161413,720,"71,878,033",61.88843504,"1,496.00","3,650",3.4,"32,232",29.8,38948,37226,12,1.03e-05,394,0.000339242,289,0.000248835,105,9.04e-05,37.8534093,-121.9017954,3180.470614251112,570.0051647719922
66,66,67,Fresno County,CA,2020-03,274229,1256,9.8,249.0,0.0,0.0002412260093952,0.0,0,0.0,48,320,41,1013581,"5,963","39,921,581",39.38667063,159.2,"4,547",4.8,"32,535",34.3,26135,25200,15,1.48e-05,421,0.000415359,367,0.000362083,54,5.33e-05,36.9858984,-119.2320784,2933.2784760347017,473.72400798323304
67,67,68,Kern County,CA,2020-03,236787,1794,11.0,279.0,1.0,0.0003008894031928,1.0784566422683826e-06,0,0.0,36,436,41,917673,"8,142","46,781,960",50.97889989,105.5,"4,465",5.2,"28,283",33.0,34507,33308,15,1.63e-05,329,0.000358516,276,0.000300761,53,5.78e-05,35.4937274,-118.8596804,2898.7569165982814,308.14753321855574
68,68,69,Ventura County,CA,2020-03,625048,1254,4.2,306.0,5.0,0.0003588403125428,5.863403799720198e-06,0,0.0,32,296,42,839784,"1,846","46,470,387",55.33611857,453.5,"1,890",2.3,"16,812",20.1,30789,30258,13,1.55e-05,310,0.000369143,226,0.000269117,84,0.000100026,34.3704884,-119.1390642,2924.6568990224373,183.53613489409116
69,69,70,San Francisco County,CA,2020-03,1455886,566,2.8,737.0,7.0,0.0008259739095351,7.845071053929259e-06,0,0.0,20,96,29,815201,47,"155,258,114",190.4537826,"17,680.10","6,822",8.2,"45,936",55.4,32198,34059,18,2.21e-05,242,0.000296859,134,0.000164377,108,0.000132483,37.7749295,-122.4194155,3228.3357028010464,561.2944592245964
